ID;age;sex;breed;date_found;adoptable_from;posted;color;coat;size;neutered;housebroken;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in
730;4.83;female;Pekingese Mix;2016-02-01;2016-02-01;2017-01-29;black;short;small;yes;yes;yes;yes;yes;yes;yes;both flat and garden
731;5.0;male;Labrador Retriever Mix;2015-12-11;2015-12-11;2016-11-16;yellow-brown;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
732;5.5;male;Unknown Mix;2016-05-01;2016-05-01;2016-11-27;black;short;large;yes;;yes;yes;yes;yes;;garden
733;5.92;male;Unknown Mix;2016-12-15;2016-12-15;2016-12-15;black;medium;medium;;;yes;yes;yes;yes;;both flat and garden
734;4.92;male;Labrador Retriever Mix;2016-12-10;2016-12-10;2016-12-24;black;short;medium;no;;yes;;yes;yes;;both flat and garden
735;5.0;female;Unknown Mix;2016-11-10;2016-11-10;2016-11-14;tricolor;short;medium;yes;;;;;;;garden
736;5.0;female;Staffordshire Terrier Mix;2016-11-20;2016-11-20;2016-11-23;golden;short;medium;yes;;yes;;;;;both flat and garden
737;8.92;male;Unknown Mix;2016-05-27;2016-05-27;2016-11-06;white;short;large;yes;;;;;;;
738;3.5;male;Unknown Mix;2016-10-29;2016-10-29;2016-10-29;black;medium;small;no;;yes;yes;no;yes;no;both flat and garden
739;4.58;male;Dachshund Mix;2016-11-09;2016-11-09;2016-11-09;black and white;short;small;no;;yes;;yes;yes;;flat
740;6.83;female;Staffordshire Terrier Mix;2016-04-05;2016-04-05;2016-11-12;brown;short;medium;yes;;yes;yes;yes;no;no;both flat and garden
741;3.25;female;Unknown Mix;2016-10-21;2016-12-10;2016-10-26;brown;medium;medium;;;yes;yes;yes;yes;;both flat and garden
742;3.25;female;Dachshund, English Cocker Spaniel, Whippet Mix;2016-10-31;2016-10-31;2016-11-11;yellow-brown;medium;medium;no;no;yes;;yes;yes;;flat
743;3.75;female;Unknown Mix;2016-10-24;2016-10-24;2016-10-31;black;short;small;no;yes;yes;yes;yes;yes;;both flat and garden
744;4.0;male;Unknown Mix;2016-10-29;2016-10-29;2016-10-29;black;wirehaired;medium;no;;yes;yes;yes;yes;;both flat and garden
745;3.92;female;Puli Mix;2016-11-10;2016-11-10;2016-11-12;black;medium;medium;yes;yes;yes;;yes;yes;;both flat and garden
746;3.17;female;Unknown Mix;2016-10-04;2016-12-24;2016-10-26;black and brown;short;medium;;;yes;yes;yes;yes;;both flat and garden
747;6.08;male;Puli Mix;2014-03-29;2014-03-29;2016-10-14;apricot;medium;medium;yes;yes;yes;yes;yes;yes;yes;garden
748;5.08;male;Unknown Mix;2016-10-14;2016-10-14;2016-11-12;yellow;short;medium;;;yes;;yes;yes;;flat
749;7.58;female;Staffordshire Terrier Mix;2015-09-02;2015-09-02;2016-11-12;brown;short;large;yes;;yes;yes;yes;no;;both flat and garden
750;4.92;male;German Shepherd Dog Mix;2015-03-09;2015-03-09;2016-10-10;sable;medium;large;yes;;;;yes;yes;yes;garden
751;9.17;female;Chihuahua, Pinscher Mix;2016-05-12;2016-05-12;2016-10-10;black and tan;short;small;;yes;yes;yes;yes;yes;yes;both flat and garden
752;4.08;male;Briard Mix;2016-08-16;2016-08-16;2016-11-06;yellow-brown;medium;large;yes;;yes;;;yes;;both flat and garden
753;9.42;male;German Shepherd Dog Mix;2016-06-05;2016-06-05;2016-11-06;tricolor;medium;medium;yes;;;;;;;
754;11.83;male;Labrador Retriever Mix;2008-09-10;2008-09-10;2016-10-11;black;short;large;yes;yes;yes;yes;yes;yes;yes;both flat and garden
755;8.08;female;Labrador Retriever Mix;2016-08-03;2016-08-03;2016-11-06;black;short;large;yes;;;;no;;;both flat and garden
756;5.0;male;Unknown Mix;2016-11-13;2016-11-13;2016-11-13;black;wirehaired;medium;yes;;yes;yes;yes;yes;;both flat and garden
757;11.08;male;German Shepherd Dog;2016-05-13;2016-05-13;2016-09-11;black and tan;short;large;yes;;yes;;no;;;both flat and garden
758;4.83;female;Unknown Mix;2016-06-01;2016-07-01;2016-10-07;brown;short;small;yes;;yes;;yes;yes;;both flat and garden
759;5.67;male;Dachshund Mix;2016-09-13;2016-09-13;2016-09-19;black;short;small;;;yes;yes;;yes;;
760;7.33;female;Staffordshire Terrier Mix;2016-08-21;2016-08-21;2016-08-31;striped;short;medium;;;;;;;;
761;4.67;male;Unknown Mix;2016-01-20;2016-01-20;2016-08-21;sable;short;large;yes;;;;;;;
762;14.0;female;German Shepherd Dog;2016-03-17;2016-03-17;2016-08-23;gray;medium;large;yes;yes;yes;;yes;yes;;both flat and garden
763;4.67;male;Unknown Mix;2016-01-20;2016-01-20;2016-08-21;gray;wirehaired;large;yes;;;;;;;
764;4.83;female;Unknown Mix;2016-08-18;2016-08-18;2016-08-31;gray and white;short;medium;;;;;;;;
765;5.33;male;Unknown Mix;2015-12-20;2015-12-20;2016-08-21;black;short;medium;yes;;;;;;;
766;14.75;male;Unknown Mix;2016-03-17;2016-03-17;2016-08-25;black and tan;wirehaired;medium;;;;;;;;
767;4.58;female;Unknown Mix;2016-05-01;2016-05-01;2016-08-25;yellow-brown;short;medium;;;;;;;;
768;4.67;male;Unknown Mix;2016-03-01;2016-03-01;2016-08-21;gray;medium;large;;;;;;;;
769;8.5;male;Labrador Retriever Mix;2016-06-25;2016-06-25;2016-08-25;black;short;medium;yes;;;;;;;
770;5.33;female;Unknown Mix;2016-03-01;2016-03-01;2016-08-25;yellow-brown;medium;large;yes;;;;;;;
771;4.5;female;Unknown Mix;2016-07-29;2016-07-29;2016-08-31;yellow-brown;short;small;;;;;;;;
772;3.42;male;Vizsla Mix;2016-08-19;2016-08-19;2016-08-28;black and brown;short;medium;;;yes;yes;yes;yes;;garden
773;3.5;female;Unknown Mix;2016-06-20;2016-06-20;2016-08-25;yellow-brown;short;small;yes;;;;;;;
774;10.83;female;Staffordshire Terrier Mix;2016-02-23;2016-02-23;2016-08-21;brown and white;short;medium;yes;;;;;;;
775;5.33;female;Unknown Mix;2016-08-23;2016-08-23;2016-08-31;yellow-brown;short;medium;;;;;;;;
776;3.67;male;Pekingese Mix;2016-09-15;2016-09-15;2016-09-17;red and white;long;small;no;yes;yes;yes;yes;yes;yes;flat
777;4.58;female;Staffordshire Terrier Mix;2016-06-17;2016-07-16;2016-06-19;brown;short;medium;yes;;yes;yes;;;;both flat and garden
778;4.92;female;Unknown Mix;2016-06-13;2016-06-13;2016-06-28;brown;wirehaired;large;;;yes;yes;yes;yes;;garden
779;10.92;male;German Shepherd Dog Mix;2016-07-01;2016-07-01;2016-08-19;black and brown;medium;large;yes;;;;;;;
780;4.42;male;Unknown Mix;2016-07-10;2016-07-10;2016-07-24;apricot;short;medium;yes;yes;yes;;yes;yes;;both flat and garden
781;4.08;male;Schnauzer Mix;2016-04-11;2016-07-26;2016-07-26;black;medium;small;;;yes;;yes;yes;;both flat and garden
782;7.83;male;Unknown Mix;2015-11-08;2015-11-08;2016-08-21;yellow-brown;short;large;;;;;;;;
783;3.92;male;Belgian Malinois Mix;2016-06-03;2016-06-03;2016-06-23;saddle back;short;medium;no;;yes;;yes;yes;;both flat and garden
784;3.92;female;Unknown Mix;2016-06-06;2016-06-06;2016-06-12;black;medium;medium;no;;yes;yes;yes;yes;yes;garden
785;3.58;male;Staffordshire Terrier Mix;2016-05-01;2016-05-01;2016-06-24;black and tan;short;medium;yes;;yes;yes;;yes;;both flat and garden
786;5.42;female;Puli, Pumi Mix;2015-11-15;2015-11-15;2016-07-04;black;medium;medium;yes;yes;yes;;yes;;;both flat and garden
787;11.83;male;German Shepherd Dog Mix;2016-03-04;2016-03-04;2016-06-22;black and tan;short;medium;yes;yes;yes;yes;;;yes;both flat and garden
788;13.5;female;English Cocker Spaniel;2016-03-27;2016-03-27;2016-06-07;black;medium;medium;yes;;;;;;;
789;4.42;female;Unknown Mix;2016-07-05;2016-07-05;2016-07-18;brown and white;short;medium;yes;;yes;;yes;yes;;both flat and garden
790;4.33;female;Rottweiler Mix;2016-05-14;2016-05-15;2016-06-08;black and tan;short;medium;;;yes;;;;;garden
791;4.42;female;Unknown Mix;2016-01-26;2016-01-26;2016-06-14;black and tan;short;medium;;;yes;yes;yes;yes;;both flat and garden
792;5.83;male;Dachshund, Terrier Mix;2015-12-31;2015-12-31;2016-07-06;black and brown;medium;small;;yes;yes;yes;no;yes;no;both flat and garden
793;5.5;female;Dachshund Mix;2016-05-07;2016-05-07;2016-06-12;striped;short;small;yes;yes;yes;;yes;;yes;flat
794;3.83;male;Pumi Mix;2016-06-01;2016-06-01;2016-07-07;black;medium;medium;no;yes;yes;yes;yes;yes;yes;both flat and garden
795;4.33;male;Unknown Mix;2016-07-15;2016-07-15;2016-07-26;black and brown;short;small;yes;;yes;;;;;both flat and garden
796;5.83;male;Giant Schnauzer;2016-05-01;2016-05-01;2016-08-11;black;medium;large;;no;yes;yes;yes;yes;;both flat and garden
797;7.5;male;Dachshund, Labrador Retriever Mix;2016-05-19;2016-05-19;2016-05-26;brown and white;short;medium;no;;;;;;;
798;9.5;female;Schnauzer, Spaniel Mix;2016-05-15;2016-05-15;2016-06-06;black;medium;medium;yes;yes;yes;;yes;yes;;flat
799;4.58;female;Staffordshire Terrier Mix;2016-02-07;2016-02-07;2016-05-19;black and white;short;medium;yes;;yes;yes;yes;yes;no;both flat and garden
800;9.08;female;Unknown Mix;2015-11-03;2015-11-03;2016-05-19;black and white;short;medium;yes;yes;yes;yes;yes;yes;no;garden
801;11.58;male;Staffordshire Terrier Mix;2015-05-04;2015-05-04;2016-05-19;striped;short;medium;yes;yes;yes;yes;no;yes;no;both flat and garden
802;5.92;male;Unknown Mix;2016-01-24;2016-01-24;2016-05-19;black;short;large;yes;;yes;yes;yes;yes;no;both flat and garden
803;11.75;male;Unknown Mix;2016-03-22;2016-03-22;2016-05-19;gray;wirehaired;medium;no;yes;yes;yes;yes;yes;no;both flat and garden
804;6.75;female;Unknown Mix;2016-03-06;2016-03-06;2016-05-19;black;short;medium;no;yes;yes;yes;yes;yes;no;garden
805;8.08;female;Cane Corso;2015-10-09;2015-10-09;2016-05-19;black;short;large;yes;yes;yes;no;no;no;no;garden
806;7.5;male;Belgian Malinois, Greyhound Mix;2016-05-19;2016-05-20;2016-05-19;yellow;short;medium;yes;;yes;yes;yes;yes;;both flat and garden
807;10.42;male;Unknown Mix;2016-03-22;2016-03-22;2016-05-19;black and brown;short;large;no;yes;yes;no;no;no;no;garden
808;9.67;male;Unknown Mix;2016-04-08;2016-04-08;2016-05-19;black and brown;wirehaired;medium;no;yes;yes;yes;yes;yes;no;both flat and garden
809;9.5;female;Havanese;2016-05-03;2016-05-03;2016-05-21;black and white;medium;small;;yes;yes;;;;;flat
810;12.75;male;Unknown Mix;2016-02-10;2016-02-10;2016-05-19;gray;wirehaired;medium;yes;yes;yes;yes;no;yes;no;garden
811;3.83;female;Unknown Mix;2016-06-01;2016-06-01;2016-06-02;tricolor;short;medium;;;yes;yes;yes;yes;;both flat and garden
812;4.58;male;Unknown Mix;2015-12-04;2015-12-04;2016-05-19;black;wirehaired;medium;yes;yes;yes;yes;yes;yes;no;both flat and garden
813;5.33;male;Unknown Mix;2016-02-21;2016-02-21;2016-05-19;black;short;medium;yes;;yes;yes;no;yes;no;both flat and garden
814;7.5;female;Unknown Mix;2015-06-15;2015-06-15;2016-05-19;black;wirehaired;large;yes;;yes;yes;yes;yes;no;garden
815;4.5;female;Unknown Mix;2016-05-20;2016-05-20;2016-06-03;brown;short;small;yes;;yes;yes;yes;yes;;both flat and garden
816;5.25;female;Vizsla Mix;2015-03-05;2015-03-05;2016-05-19;brown;short;medium;no;yes;yes;yes;yes;yes;yes;garden
817;10.42;male;Staffordshire Terrier;2015-07-14;2015-07-14;2016-05-19;black;short;medium;yes;yes;yes;yes;no;no;no;both flat and garden
818;11.83;male;Old German Shepherd;2016-02-18;2016-02-18;2016-05-19;black and brown;medium;large;no;yes;yes;no;no;no;no;garden
819;6.58;female;Unknown Mix;2015-05-01;2015-05-01;2016-05-11;black and brown;medium;medium;yes;;yes;;yes;yes;;both flat and garden
820;8.58;male;Belgian Sheepdog Mix;2014-04-05;2014-04-05;2016-05-11;black and brown;medium;medium;;;yes;;;;;
821;5.92;female;Staffordshire Terrier Mix;2016-01-29;2016-01-29;2016-05-19;striped;short;medium;yes;;yes;yes;yes;no;no;both flat and garden
822;6.58;male;Puli;2015-08-01;2015-08-01;2016-05-11;gray;long;medium;;;yes;;yes;yes;;both flat and garden
823;8.75;male;Unknown Mix;2016-03-25;2016-03-25;2016-05-19;brown;short;medium;no;yes;yes;no;no;no;no;garden
824;4.5;male;Unknown Mix;2016-04-16;2016-04-16;2016-05-15;brown and white;medium;medium;yes;;yes;yes;yes;yes;no;both flat and garden
825;5.75;male;Unknown Mix;2016-03-03;2016-03-03;2016-05-19;striped;short;medium;no;yes;yes;yes;yes;yes;no;both flat and garden
826;7.58;male;Unknown Mix;2016-04-29;2016-04-30;2016-05-13;sable;short;medium;no;;yes;;;;;both flat and garden
827;11.67;male;Setter Mix;2016-04-07;2016-04-07;2016-05-19;black;medium;medium;no;yes;yes;yes;no;yes;no;garden
828;6.5;male;Unknown Mix;2016-04-10;2016-04-10;2016-05-15;brown and white;short;medium;yes;;yes;yes;;yes;;both flat and garden
829;9.58;male;Unknown Mix;2015-05-15;2015-05-15;2016-05-19;gray;short;medium;yes;yes;yes;yes;no;yes;no;garden
830;4.5;male;Unknown Mix;2016-03-20;2016-03-20;2016-05-15;black and brown;short;medium;yes;;yes;yes;no;yes;;both flat and garden
831;4.58;female;Unknown Mix;2016-04-18;2016-04-18;2016-05-19;black and brown;short;large;no;;yes;yes;yes;yes;no;garden
832;4.67;male;Unknown Mix;2016-05-04;2016-05-04;2016-05-19;brown;short;large;no;yes;yes;yes;yes;yes;no;garden
833;4.42;female;Unknown Mix;2016-03-20;2016-03-20;2016-05-19;black;short;medium;no;;yes;yes;yes;yes;no;both flat and garden
834;4.75;female;Unknown Mix;2015-09-17;2015-09-17;2016-05-19;black;short;small;yes;;yes;yes;yes;yes;no;both flat and garden
835;5.58;male;Unknown Mix;2016-05-14;2016-05-14;2016-05-16;brown and white;short;medium;yes;;yes;;yes;yes;;both flat and garden
836;4.75;male;Unknown Mix;2016-03-28;2016-03-28;2016-05-19;brown;short;small;no;;yes;yes;yes;yes;no;both flat and garden
837;12.92;female;Labrador Retriever Mix;2010-12-03;2010-12-03;2016-05-03;black;short;medium;yes;;yes;;yes;;;both flat and garden
838;10.92;female;Unknown Mix;2010-12-17;2010-12-17;2016-05-03;black;short;medium;yes;;yes;;yes;;;both flat and garden
839;11.92;female;Unknown Mix;2010-12-03;2010-12-03;2016-05-03;black;short;medium;yes;;yes;;yes;;;both flat and garden
840;8.5;female;Unknown Mix;2016-03-31;2016-03-31;2016-05-04;black;short;medium;yes;;yes;;yes;;;both flat and garden
841;12.92;female;Dachshund Mix;2012-03-01;2012-03-01;2016-05-03;black and tan;short;small;yes;;yes;;yes;;;flat
842;12.92;female;German Shepherd Dog Mix;2010-12-03;2010-12-03;2016-05-03;black and tan;short;medium;yes;;yes;;yes;;;both flat and garden
843;12.92;male;Unknown Mix;2010-12-03;2010-12-03;2016-05-03;gray and white;wirehaired;medium;no;;yes;;no;yes;;garden
844;14.92;female;Unknown Mix;2010-12-03;2010-12-03;2016-05-03;yellow-brown;short;medium;yes;;yes;;yes;;;both flat and garden
845;12.92;male;Unknown Mix;2010-12-03;2010-12-03;2016-05-03;yellow-brown;wirehaired;medium;no;;yes;;;yes;;both flat and garden
846;7.83;male;German Shepherd Dog Mix;2016-03-31;2016-03-31;2016-05-03;sable;medium;large;no;;yes;;;yes;;both flat and garden
847;13.92;female;Pointer Mix;2010-12-03;2010-12-03;2016-05-03;dotted;short;medium;yes;;yes;;yes;;;garden
848;6.58;male;Unknown Mix;2016-04-12;2016-04-13;2016-05-04;sable;short;medium;no;;yes;yes;;;;garden
849;6.75;male;Unknown Mix;2016-05-04;2016-05-04;2016-05-05;saddle back;short;large;yes;;yes;yes;yes;yes;yes;garden
850;9.33;female;German Shepherd Dog Mix;2015-02-11;2015-02-11;2016-05-03;sable;short;large;yes;;yes;;yes;yes;;garden
851;6.58;male;Unknown Mix;2016-04-28;2016-05-21;2016-05-05;black;short;medium;;;yes;yes;yes;yes;;both flat and garden
852;5.0;male;Unknown Mix;2016-04-15;2016-04-15;2016-05-04;yellow-brown;short;medium;yes;;yes;;;yes;;both flat and garden
853;11.92;male;Labrador Retriever Mix;2016-04-20;2016-04-20;2016-05-03;yellow-brown;short;large;no;;yes;;;yes;;both flat and garden
854;10.92;male;Unknown Mix;2014-02-24;2014-02-24;2016-05-03;black;short;small;no;;yes;;;yes;;both flat and garden
855;7.58;male;Beagle;2016-04-28;2016-04-29;2016-05-06;tricolor;short;medium;no;;yes;yes;;;;both flat and garden
856;11.92;female;Unknown Mix;2010-12-03;2010-12-03;2016-05-03;black;wirehaired;medium;yes;;yes;;yes;;;both flat and garden
857;6.42;male;Pumi Mix;2016-04-22;2016-05-07;2016-04-22;black;short;medium;;;yes;yes;;yes;;garden
858;4.92;female;Dachshund Mix;2016-03-01;2016-03-01;2016-04-04;brown;short;small;yes;;yes;;yes;yes;;flat
859;10.92;male;Unknown Mix;2014-06-06;2014-06-06;2016-04-05;black and tan;wirehaired;small;no;;yes;;;yes;;both flat and garden
860;19.92;female;Unknown Mix;2016-03-04;2016-03-04;2016-03-26;saddle back;short;medium;no;;;;;;;
861;4.67;male;Unknown Mix;2016-04-07;2016-04-08;2016-04-08;striped;wirehaired;medium;no;;yes;;;;;garden
862;6.17;female;Unknown Mix;2015-05-01;2015-07-01;2016-04-13;black;short;medium;yes;;yes;;yes;yes;;both flat and garden
863;8.67;male;Unknown Mix;2015-05-01;2015-05-01;2016-04-13;yellow;short;small;no;;yes;;yes;yes;;flat
864;11.58;male;German Shepherd Dog;2016-04-12;2016-04-12;2016-04-22;black and tan;medium;large;no;;yes;;;;;garden
865;5.58;female;Hovawart Mix;2016-04-12;2016-04-12;2016-04-29;black and brown;long;large;;;yes;;;;;garden
866;7.67;female;Unknown Mix;2016-02-27;2016-02-27;2016-03-26;brown;medium;small;;;;;;;;
867;7.17;female;Unknown Mix;2014-04-05;2014-05-15;2016-04-09;black;short;medium;yes;;yes;;yes;yes;;both flat and garden
868;13.92;female;German Pointer Mix;2011-01-01;2011-01-01;2016-04-05;brown;wirehaired;large;yes;;yes;;yes;;;both flat and garden
869;10.67;female;German Shepherd Dog;2016-04-04;2016-04-04;2016-04-05;black and tan;medium;large;no;;yes;yes;no;no;no;garden
870;5.58;female;Dachshund Mix;2016-04-20;2016-04-20;2016-04-27;black and brown;short;small;no;;yes;;;;;both flat and garden
871;6.58;female;Unknown Mix;2016-04-11;2016-04-12;2016-04-15;yellow-brown;wirehaired;medium;no;yes;yes;yes;;;;both flat and garden
872;3.67;male;Unknown Mix;2016-04-06;2016-05-15;2016-04-13;white;short;small;no;no;yes;yes;yes;yes;yes;flat
873;8.58;male;Dachshund Mix;2015-11-19;2015-11-19;2016-04-22;black and white;short;small;yes;;;;;;;
874;7.67;female;Unknown Mix;2016-04-03;2016-04-03;2016-04-03;yellow-brown;short;small;;;;;;;;
875;12.25;female;Unknown Mix;2016-03-04;2016-03-04;2016-03-26;brown;short;medium;;;;;;;;
876;4.75;male;German Shepherd Dog Mix;2016-03-27;2016-05-07;2016-03-30;black and brown;short;medium;;;yes;yes;yes;;;garden
877;4.83;male;Unknown Mix;2016-02-21;2016-02-21;2016-03-26;black;medium;medium;;;;;;;;
878;18.92;male;Dachshund Mix;2016-01-22;2016-01-22;2016-03-26;brown;medium;small;;;;;;;;
879;6.67;female;Caucasian Ovtcharka;2016-03-18;2016-03-20;2016-03-25;saddle back;medium;large;yes;;yes;;;;;garden
880;8.17;female;Labrador Retriever Mix;2015-01-31;2015-01-31;2016-03-21;yellow;short;medium;yes;;yes;;yes;yes;;both flat and garden
881;15.58;female;Fox Terrier Mix;2016-01-22;2016-01-22;2016-03-26;tricolor;short;small;;;;;;;;
882;4.83;male;Unknown Mix;2016-01-01;2016-01-01;2016-03-21;tricolor;short;medium;yes;;yes;;yes;yes;;both flat and garden
883;9.08;male;Unknown Mix;2016-02-22;2016-02-22;2016-03-26;red;short;medium;;;;;;;;
884;5.92;female;Unknown Mix;2016-01-29;2016-01-29;2016-03-26;striped;short;medium;;;;;;;;
885;3.92;female;Unknown Mix;2016-01-23;2016-01-23;2016-03-26;black;short;medium;;;;;;;;
886;5.92;female;Unknown Mix;2016-02-28;2016-02-28;2016-03-26;black and brown;short;small;;;;;;;;
887;4.08;male;Unknown Mix;2016-02-02;2016-02-02;2016-03-26;tricolor;wirehaired;small;;;;;;;;
888;9.33;female;Fox Terrier Mix;2016-02-02;2016-02-02;2016-03-26;black and white;short;small;;;;;;;;
889;9.17;male;Unknown Mix;2016-02-19;2016-02-19;2016-03-26;brown;long;large;;;;;;;;
890;3.92;male;Unknown Mix;2016-01-21;2016-01-21;2016-03-26;black;short;medium;;;;;;;;
891;8.5;female;Unknown Mix;2016-02-22;2016-02-22;2016-03-26;black;short;medium;;;;;;;;
892;5.92;male;Dachshund Mix;2016-01-21;2016-01-21;2016-03-26;black;short;medium;;;;;;;;
893;11.75;male;Unknown Mix;2016-02-22;2016-02-22;2016-03-26;yellow-brown;short;small;;;;;;;;
894;10.08;male;Staffordshire Terrier Mix;2014-12-30;2014-12-30;2016-03-21;black and brown;short;medium;yes;;yes;;no;yes;;both flat and garden
895;5.75;male;Unknown Mix;2016-02-23;2016-02-23;2016-03-26;brown;short;medium;;;;;;;;
896;8.5;female;Unknown Mix;2016-02-22;2016-02-22;2016-03-26;black;short;medium;;;;;;;;
897;12.75;male;Caucasian Ovtcharka;2016-03-12;2016-03-13;2016-03-16;gray and white;long;large;no;no;yes;yes;no;no;no;garden
898;3.92;female;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;black;short;medium;;;;;;;;
899;12.67;female;Unknown Mix;2016-01-08;2016-01-08;2016-03-13;black;wirehaired;small;;;;;;;;
900;5.92;male;Unknown Mix;2016-01-14;2016-01-14;2016-03-15;black and white;long;medium;yes;;;;;;;
901;3.92;male;Unknown Mix;2016-01-16;2016-01-16;2016-03-15;white;short;medium;;;;;;;;
902;3.92;male;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;white;short;medium;;;;;;;;
903;3.92;male;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;saddle back;short;medium;;;;;;;;
904;5.0;female;Whippet Mix;2016-01-09;2016-01-09;2016-03-13;black and brown;short;medium;;;;;;;;
905;9.92;female;Unknown Mix;2015-12-30;2015-12-30;2016-03-13;red and white;short;small;yes;;yes;;;;;
906;5.25;male;Unknown Mix;2016-01-06;2016-01-06;2016-03-13;gray;long;large;yes;;;;;;;
907;3.92;female;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;black and brown;medium;medium;;;;;;;;
908;3.92;male;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;brown;long;medium;;;;;;;;
909;3.92;female;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;brown;short;medium;;;;;;;;
910;5.5;male;Unknown Mix;2016-01-14;2016-01-14;2016-03-13;white;long;medium;yes;;;;yes;;;
911;10.67;male;German Shepherd Dog, Siberian Husky Mix;2016-03-10;2016-03-11;2016-03-21;black and brown;long;large;no;;yes;;;;;garden
912;14.75;female;German Shepherd Dog;2016-03-09;2016-03-09;2016-03-16;black and tan;short;large;;;yes;;;;;garden
913;4.83;female;Pinscher Mix;2016-01-18;2016-01-18;2016-03-15;brown;short;small;;;;;;;;
914;3.92;female;Unknown Mix;2016-01-19;2016-01-19;2016-03-15;black;short;medium;;;;;;;;
915;4.42;female;Unknown Mix;2016-03-01;2016-03-01;2016-03-20;spotty;short;small;yes;;yes;;yes;yes;;both flat and garden
916;4.83;female;Beagle Mix;2016-01-18;2016-01-18;2016-03-15;yellow;short;medium;;;;;;;;
917;5.92;male;Spaniel Mix;2015-12-26;2015-12-26;2016-02-13;black and white;medium;medium;yes;;;;;;;
918;7.75;male;German Shepherd Dog;2016-02-09;2016-02-10;2016-02-16;black and tan;short;large;no;;yes;;;;;garden
919;4.5;female;Chinese Shar-Pei, Vizsla Mix;2015-12-24;2015-12-24;2016-03-13;black;short;medium;;;;;;;;
920;5.25;female;Dachshund Mix;2016-01-02;2016-02-15;2016-02-15;black;short;small;no;yes;yes;yes;yes;yes;yes;both flat and garden
921;5.83;male;Puli Mix;2016-01-12;2016-01-12;2016-02-15;black;medium;medium;yes;;;;;;;
922;4.67;female;Unknown Mix;2015-12-08;2015-12-08;2016-03-13;black and white;short;medium;yes;;;;;;;
923;8.08;female;Unknown Mix;2016-01-24;2016-01-24;2016-02-10;black;wirehaired;small;no;;yes;;yes;yes;;both flat and garden
924;4.58;female;Unknown Mix;2015-12-15;2015-12-15;2016-03-13;black and white;medium;medium;yes;;;;;;;
925;4.5;female;Unknown Mix;2015-12-08;2015-12-08;2016-03-13;brown;short;medium;yes;;;;;;;
926;4.17;female;Unknown Mix;2015-12-17;2015-12-17;2016-03-13;black and brown;short;medium;;;;;;;;
927;5.25;male;Dachshund Mix;2015-12-26;2015-12-26;2016-02-15;wild boar;wirehaired;small;yes;;;;;;;
928;11.83;female;Spaniel Mix;2016-01-26;2016-01-26;2016-02-13;golden;medium;medium;yes;;;;;;;
929;5.5;male;Welsh Terrier Mix;2016-01-15;2016-01-15;2016-02-15;black and tan;short;medium;yes;;;;;;;
930;9.75;female;Puli;2016-02-29;2016-03-02;2016-03-02;black;long;medium;yes;;;;;;;garden
931;4.08;female;Unknown Mix;2016-03-08;2016-03-08;2016-03-11;black and brown;medium;medium;no;;yes;yes;yes;yes;;both flat and garden
932;4.0;male;Unknown Mix;2016-02-09;2016-02-09;2016-02-11;brown and white;short;medium;;;yes;yes;yes;yes;yes;both flat and garden
933;6.25;female;Fox Terrier, Staffordshire Terrier Mix;2016-02-01;2016-02-01;2016-02-15;tricolor;short;medium;yes;yes;yes;yes;yes;yes;yes;both flat and garden
934;4.17;female;Unknown Mix;2016-01-25;2016-02-15;2016-02-15;black;wirehaired;medium;no;no;yes;yes;yes;yes;yes;both flat and garden
935;4.58;female;Unknown Mix;2015-12-11;2015-12-11;2016-03-13;black and white;short;medium;yes;;;;;;;
936;5.75;male;Unknown Mix;2016-02-29;2016-03-01;2016-03-09;black and brown;short;medium;no;;yes;yes;yes;yes;yes;garden
937;6.25;male;English Cocker Spaniel;2015-09-08;2015-09-08;2016-01-27;brown;medium;medium;yes;;;;;;;
938;9.75;male;Unknown Mix;2015-03-05;2015-03-05;2016-01-27;black and tan;medium;medium;;;;;;;;
939;4.0;female;Labrador Retriever Mix;2015-12-07;2015-12-07;2015-12-26;black;short;medium;;;;;;;;
940;6.5;male;Unknown Mix;2015-12-16;2015-12-16;2016-02-10;gray;medium;small;yes;yes;yes;;;yes;;flat
941;8.83;male;Unknown Mix;2016-01-17;2016-01-18;2016-01-26;black;long;medium;no;yes;yes;;;;;flat
942;9.83;male;Schnauzer Mix;2016-01-16;2016-01-17;2016-01-22;gray;short;medium;no;;yes;;;;yes;garden
943;4.42;male;Canary Dog Mix;2015-12-19;2015-12-20;2016-01-05;apricot;short;medium;;;yes;;;;;garden
944;4.83;female;Dachshund Mix;2016-01-17;2016-01-18;2016-02-01;tricolor;short;small;;yes;yes;;;;;both flat and garden
945;4.08;male;Unknown Mix;2016-01-14;2016-01-14;2016-01-20;black and white;medium;large;no;;yes;yes;yes;yes;yes;garden
946;10.83;male;Schnauzer Mix;2016-01-29;2016-01-30;2016-02-03;black;wirehaired;medium;no;;yes;;;;;garden
